grid_size,complexity,run,algorithm,iterations,final_avg_utility,env_label
4,0.6,8,value_iteration,1146,93.78203309972051,env_grid4_complex0.6_run8
4,0.6,8,policy_iteration,5,93.78301255783163,env_grid4_complex0.6_run8
4,0.6,9,value_iteration,1146,96.42179289694872,env_grid4_complex0.6_run9
4,0.6,9,policy_iteration,5,96.42276742896236,env_grid4_complex0.6_run9
4,0.7,0,value_iteration,1146,96.82920401141956,env_grid4_complex0.7_run0
4,0.7,0,policy_iteration,3,96.8299442670398,env_grid4_complex0.7_run0
4,0.7,1,value_iteration,1146,79.96977197723943,env_grid4_complex0.7_run1
4,0.7,1,policy_iteration,5,79.97058303941479,env_grid4_complex0.7_run1
4,0.7,2,value_iteration,1146,96.40438025270119,env_grid4_complex0.7_run2
4,0.7,2,policy_iteration,4,96.40457697905283,env_grid4_complex0.7_run2
4,0.7,3,value_iteration,1134,85.86236153391984,env_grid4_complex0.7_run3
4,0.7,3,policy_iteration,3,85.8623547208562,env_grid4_complex0.7_run3
4,0.7,4,value_iteration,1146,94.86282205973846,env_grid4_complex0.7_run4
4,0.7,4,policy_iteration,5,94.86365615097641,env_grid4_complex0.7_run4
4,0.7,5,value_iteration,1146,97.83695720990477,env_grid4_complex0.7_run5
4,0.7,5,policy_iteration,4,97.83711567105945,env_grid4_complex0.7_run5
4,0.7,6,value_iteration,1146,97.19789410309437,env_grid4_complex0.7_run6
4,0.7,6,policy_iteration,3,97.19796473130577,env_grid4_complex0.7_run6
4,0.7,7,value_iteration,1146,78.23863719273032,env_grid4_complex0.7_run7
4,0.7,7,policy_iteration,3,78.23852303467724,env_grid4_complex0.7_run7
4,0.7,8,value_iteration,1146,96.05103618185085,env_grid4_complex0.7_run8
4,0.7,8,policy_iteration,4,96.0514487099205,env_grid4_complex0.7_run8
4,0.7,9,value_iteration,1146,97.77696527517645,env_grid4_complex0.7_run9
4,0.7,9,policy_iteration,5,97.7774300569722,env_grid4_complex0.7_run9
4,0.8,0,value_iteration,1146,96.3260463715428,env_grid4_complex0.8_run0
4,0.8,0,policy_iteration,6,96.32679973443011,env_grid4_complex0.8_run0
4,0.8,1,value_iteration,1146,78.633739568568,env_grid4_complex0.8_run1
4,0.8,1,policy_iteration,6,78.63455094584022,env_grid4_complex0.8_run1
4,0.8,2,value_iteration,1146,95.97953826936434,env_grid4_complex0.8_run2
4,0.8,2,policy_iteration,4,95.97973484870259,env_grid4_complex0.8_run2
4,0.8,3,value_iteration,1134,85.42785970964621,env_grid4_complex0.8_run3
4,0.8,3,policy_iteration,4,85.4279162522801,env_grid4_complex0.8_run3
4,0.8,4,value_iteration,1146,93.75740620107955,env_grid4_complex0.8_run4
4,0.8,4,policy_iteration,4,93.7581773893005,env_grid4_complex0.8_run4
4,0.8,5,value_iteration,1146,97.61535306926974,env_grid4_complex0.8_run5
4,0.8,5,policy_iteration,5,97.61564117933317,env_grid4_complex0.8_run5
4,0.8,6,value_iteration,1146,96.62755868462415,env_grid4_complex0.8_run6
4,0.8,6,policy_iteration,3,96.62763584204254,env_grid4_complex0.8_run6
4,0.8,7,value_iteration,1146,77.7419429591849,env_grid4_complex0.8_run7
4,0.8,7,policy_iteration,4,77.74182832430034,env_grid4_complex0.8_run7
4,0.8,8,value_iteration,1146,95.48896343313385,env_grid4_complex0.8_run8
4,0.8,8,policy_iteration,3,95.48920571982217,env_grid4_complex0.8_run8
4,0.8,9,value_iteration,1146,97.47351680928698,env_grid4_complex0.8_run9
4,0.8,9,policy_iteration,4,97.47389757884018,env_grid4_complex0.8_run9
4,0.9,0,value_iteration,1146,98.25338339691707,env_grid4_complex0.9_run0
4,0.9,0,policy_iteration,6,98.25400173387094,env_grid4_complex0.9_run0
4,0.9,1,value_iteration,1146,80.27522095409383,env_grid4_complex0.9_run1
4,0.9,1,policy_iteration,3,80.27586157510258,env_grid4_complex0.9_run1
4,0.9,2,value_iteration,1146,98.30130631995084,env_grid4_complex0.9_run2
4,0.9,2,policy_iteration,7,98.30179872485176,env_grid4_complex0.9_run2
4,0.9,3,value_iteration,1145,96.50575917302699,env_grid4_complex0.9_run3
4,0.9,3,policy_iteration,5,96.50612623330161,env_grid4_complex0.9_run3
4,0.9,4,value_iteration,1146,96.2133928618007,env_grid4_complex0.9_run4
4,0.9,4,policy_iteration,3,96.21407790905984,env_grid4_complex0.9_run4
4,0.9,5,value_iteration,1146,98.4200135160832,env_grid4_complex0.9_run5
4,0.9,5,policy_iteration,4,98.42016765908139,env_grid4_complex0.9_run5
4,0.9,6,value_iteration,1146,97.55696599192629,env_grid4_complex0.9_run6
4,0.9,6,policy_iteration,4,97.55775499325392,env_grid4_complex0.9_run6
4,0.9,7,value_iteration,1146,97.62070525698292,env_grid4_complex0.9_run7
4,0.9,7,policy_iteration,4,97.62153089366066,env_grid4_complex0.9_run7
4,0.9,8,value_iteration,1146,97.8869866856059,env_grid4_complex0.9_run8
4,0.9,8,policy_iteration,3,97.88721731990435,env_grid4_complex0.9_run8
4,0.9,9,value_iteration,1146,97.72666299160946,env_grid4_complex0.9_run9
4,0.9,9,policy_iteration,6,97.72759321038156,env_grid4_complex0.9_run9
4,1.0,0,value_iteration,1146,98.14569806479285,env_grid4_complex1.0_run0
4,1.0,0,policy_iteration,6,98.14631652197832,env_grid4_complex1.0_run0
4,1.0,1,value_iteration,1146,80.16753562196959,env_grid4_complex1.0_run1
4,1.0,1,policy_iteration,3,80.16817624297836,env_grid4_complex1.0_run1
4,1.0,2,value_iteration,1146,97.98258652899966,env_grid4_complex1.0_run2
4,1.0,2,policy_iteration,4,97.98273933268943,env_grid4_complex1.0_run2
4,1.0,3,value_iteration,1144,94.90300718374442,env_grid4_complex1.0_run3
4,1.0,3,policy_iteration,5,94.90354864182396,env_grid4_complex1.0_run3
4,1.0,4,value_iteration,1146,95.8036445397469,env_grid4_complex1.0_run4
4,1.0,4,policy_iteration,4,95.8043258009961,env_grid4_complex1.0_run4
4,1.0,5,value_iteration,1146,98.28724264389747,env_grid4_complex1.0_run5
4,1.0,5,policy_iteration,4,98.28725190907385,env_grid4_complex1.0_run5
4,1.0,6,value_iteration,1146,97.08697682453575,env_grid4_complex1.0_run6
4,1.0,6,policy_iteration,4,97.08776925769894,env_grid4_complex1.0_run6
4,1.0,7,value_iteration,1146,97.5130199248587,env_grid4_complex1.0_run7
4,1.0,7,policy_iteration,4,97.51384703638122,env_grid4_complex1.0_run7
4,1.0,8,value_iteration,1146,97.71234501946823,env_grid4_complex1.0_run8
4,1.0,8,policy_iteration,5,97.71283485833602,env_grid4_complex1.0_run8
4,1.0,9,value_iteration,1146,97.00622608484126,env_grid4_complex1.0_run9
4,1.0,9,policy_iteration,6,97.00715604386137,env_grid4_complex1.0_run9
6,0.0,0,value_iteration,848,-4.999015421795402,env_grid6_complex0.0_run0
6,0.0,0,policy_iteration,2,-4.999025267577448,env_grid6_complex0.0_run0
6,0.1,0,value_iteration,1120,72.7788626130236,env_grid6_complex0.1_run0
6,0.1,0,policy_iteration,7,72.77935305440211,env_grid6_complex0.1_run0
6,0.1,1,value_iteration,1046,34.912748959370504,env_grid6_complex0.1_run1
6,0.1,1,policy_iteration,6,34.912912905541596,env_grid6_complex0.1_run1
6,0.1,2,value_iteration,1132,81.40325277494755,env_grid6_complex0.1_run2
6,0.1,2,policy_iteration,4,81.40342155124874,env_grid6_complex0.1_run2
6,0.1,3,value_iteration,1120,73.0651359180843,env_grid6_complex0.1_run3
6,0.1,3,policy_iteration,5,73.06524960160377,env_grid6_complex0.1_run3
6,0.1,4,value_iteration,1120,72.66180418146946,env_grid6_complex0.1_run4
6,0.1,4,policy_iteration,5,72.66196055863601,env_grid6_complex0.1_run4
6,0.1,5,value_iteration,1045,34.5956663728941,env_grid6_complex0.1_run5
6,0.1,5,policy_iteration,4,34.59567198082581,env_grid6_complex0.1_run5
6,0.1,6,value_iteration,1046,35.0219479130092,env_grid6_complex0.1_run6
6,0.1,6,policy_iteration,5,35.022108066168535,env_grid6_complex0.1_run6
6,0.1,7,value_iteration,1045,34.78941489553844,env_grid6_complex0.1_run7
6,0.1,7,policy_iteration,4,34.789530717630534,env_grid6_complex0.1_run7
6,0.1,8,value_iteration,1119,71.49509216229058,env_grid6_complex0.1_run8
6,0.1,8,policy_iteration,6,71.4952385046298,env_grid6_complex0.1_run8
6,0.1,9,value_iteration,1119,71.57613499256975,env_grid6_complex0.1_run9
6,0.1,9,policy_iteration,5,71.57635416476788,env_grid6_complex0.1_run9
6,0.2,0,value_iteration,1120,74.20656531702781,env_grid6_complex0.2_run0
6,0.2,0,policy_iteration,6,74.20707374985683,env_grid6_complex0.2_run0
6,0.2,1,value_iteration,1132,80.5290421876964,env_grid6_complex0.2_run1
6,0.2,1,policy_iteration,5,80.5293775026584,env_grid6_complex0.2_run1
6,0.2,2,value_iteration,1134,82.24816313789609,env_grid6_complex0.2_run2
6,0.2,2,policy_iteration,5,82.24851757796588,env_grid6_complex0.2_run2
6,0.2,3,value_iteration,1120,73.83810681807051,env_grid6_complex0.2_run3
6,0.2,3,policy_iteration,5,73.83870259740172,env_grid6_complex0.2_run3
6,0.2,4,value_iteration,1120,73.22000501666786,env_grid6_complex0.2_run4
6,0.2,4,policy_iteration,5,73.22014589290131,env_grid6_complex0.2_run4
6,0.2,5,value_iteration,1134,82.21249388456948,env_grid6_complex0.2_run5
6,0.2,5,policy_iteration,7,82.21347549454077,env_grid6_complex0.2_run5
6,0.2,6,value_iteration,1051,36.938721694144796,env_grid6_complex0.2_run6
6,0.2,6,policy_iteration,8,36.93890878960201,env_grid6_complex0.2_run6
6,0.2,7,value_iteration,1046,35.37275135114376,env_grid6_complex0.2_run7
6,0.2,7,policy_iteration,7,35.373442988784916,env_grid6_complex0.2_run7
6,0.2,8,value_iteration,1131,80.53273612827459,env_grid6_complex0.2_run8
6,0.2,8,policy_iteration,7,80.53300468294873,env_grid6_complex0.2_run8
6,0.2,9,value_iteration,1110,65.53564145875634,env_grid6_complex0.2_run9
6,0.2,9,policy_iteration,6,65.53581516435058,env_grid6_complex0.2_run9
6,0.3,0,value_iteration,1130,81.99488561053673,env_grid6_complex0.3_run0
6,0.3,0,policy_iteration,6,81.99488176502781,env_grid6_complex0.3_run0
6,0.3,1,value_iteration,1144,92.29471271060028,env_grid6_complex0.3_run1
6,0.3,1,policy_iteration,6,92.29491591109127,env_grid6_complex0.3_run1
6,0.3,2,value_iteration,1134,83.67382369384941,env_grid6_complex0.3_run2
6,0.3,2,policy_iteration,7,83.67457756626774,env_grid6_complex0.3_run2
6,0.3,3,value_iteration,1131,81.70910233404057,env_grid6_complex0.3_run3
6,0.3,3,policy_iteration,6,81.70951228062164,env_grid6_complex0.3_run3
6,0.3,4,value_iteration,1132,82.0630177025284,env_grid6_complex0.3_run4
6,0.3,4,policy_iteration,4,82.06302522783895,env_grid6_complex0.3_run4
6,0.3,5,value_iteration,1134,85.2419824976905,env_grid6_complex0.3_run5
6,0.3,5,policy_iteration,7,85.24268143685937,env_grid6_complex0.3_run5
6,0.3,6,value_iteration,1132,82.39488491526868,env_grid6_complex0.3_run6
6,0.3,6,policy_iteration,6,82.39551932734967,env_grid6_complex0.3_run6
6,0.3,7,value_iteration,1129,81.10874428494395,env_grid6_complex0.3_run7
6,0.3,7,policy_iteration,5,81.10912090249533,env_grid6_complex0.3_run7
6,0.3,8,value_iteration,1134,83.39534394880593,env_grid6_complex0.3_run8
6,0.3,8,policy_iteration,7,83.39567543741416,env_grid6_complex0.3_run8
6,0.3,9,value_iteration,1143,93.52609369520336,env_grid6_complex0.3_run9
6,0.3,9,policy_iteration,5,93.52609725722334,env_grid6_complex0.3_run9
6,0.4,0,value_iteration,1132,83.77058769770716,env_grid6_complex0.4_run0
6,0.4,0,policy_iteration,6,83.7705905780932,env_grid6_complex0.4_run0
6,0.4,1,value_iteration,1144,92.76321462849408,env_grid6_complex0.4_run1
6,0.4,1,policy_iteration,6,92.7633278269733,env_grid6_complex0.4_run1
6,0.4,2,value_iteration,1146,94.56879354424852,env_grid6_complex0.4_run2
6,0.4,2,policy_iteration,5,94.56952692599016,env_grid6_complex0.4_run2
6,0.4,3,value_iteration,1134,78.04447846973584,env_grid6_complex0.4_run3
6,0.4,3,policy_iteration,6,78.0444710789492,env_grid6_complex0.4_run3
6,0.4,4,value_iteration,1146,93.43856981765981,env_grid6_complex0.4_run4
6,0.4,4,policy_iteration,10,93.43955301206337,env_grid6_complex0.4_run4
6,0.4,5,value_iteration,1134,82.46663769033685,env_grid6_complex0.4_run5
6,0.4,5,policy_iteration,6,82.46711135877297,env_grid6_complex0.4_run5
6,0.4,6,value_iteration,1132,82.79521104320085,env_grid6_complex0.4_run6
6,0.4,6,policy_iteration,6,82.79571066291561,env_grid6_complex0.4_run6
6,0.4,7,value_iteration,1133,84.28796610853051,env_grid6_complex0.4_run7
6,0.4,7,policy_iteration,5,84.28847826213075,env_grid6_complex0.4_run7
6,0.4,8,value_iteration,1134,83.35537663613071,env_grid6_complex0.4_run8
6,0.4,8,policy_iteration,7,83.35621562290405,env_grid6_complex0.4_run8
6,0.4,9,value_iteration,1143,93.57418784476036,env_grid6_complex0.4_run9
6,0.4,9,policy_iteration,5,93.57419138448438,env_grid6_complex0.4_run9
6,0.5,0,value_iteration,1134,85.70900333983113,env_grid6_complex0.5_run0
6,0.5,0,policy_iteration,6,85.70971061287223,env_grid6_complex0.5_run0
6,0.5,1,value_iteration,1144,92.83570989821528,env_grid6_complex0.5_run1
6,0.5,1,policy_iteration,7,92.83613527168657,env_grid6_complex0.5_run1
6,0.5,2,value_iteration,1146,93.28450359513165,env_grid6_complex0.5_run2
6,0.5,2,policy_iteration,7,93.28548130921328,env_grid6_complex0.5_run2
6,0.5,3,value_iteration,1134,78.99930000697258,env_grid6_complex0.5_run3
6,0.5,3,policy_iteration,5,78.99981033090049,env_grid6_complex0.5_run3
6,0.5,4,value_iteration,1146,95.00396338489608,env_grid6_complex0.5_run4
6,0.5,4,policy_iteration,5,95.00494516869516,env_grid6_complex0.5_run4
6,0.5,5,value_iteration,1146,89.53147437043584,env_grid6_complex0.5_run5
6,0.5,5,policy_iteration,8,89.53242041080331,env_grid6_complex0.5_run5
6,0.5,6,value_iteration,1132,82.62501947342386,env_grid6_complex0.5_run6
6,0.5,6,policy_iteration,6,82.62583185057716,env_grid6_complex0.5_run6
6,0.5,7,value_iteration,1131,82.32370563055565,env_grid6_complex0.5_run7
6,0.5,7,policy_iteration,9,82.32467761846291,env_grid6_complex0.5_run7
6,0.5,8,value_iteration,1132,81.29695006992662,env_grid6_complex0.5_run8
6,0.5,8,policy_iteration,8,81.2978444159921,env_grid6_complex0.5_run8
6,0.5,9,value_iteration,1143,93.01859359282341,env_grid6_complex0.5_run9
6,0.5,9,policy_iteration,5,93.01894935487832,env_grid6_complex0.5_run9
6,0.6,0,value_iteration,1146,95.31917209597867,env_grid6_complex0.6_run0
6,0.6,0,policy_iteration,7,95.3200621942793,env_grid6_complex0.6_run0
6,0.6,1,value_iteration,1144,93.20483596982865,env_grid6_complex0.6_run1
6,0.6,1,policy_iteration,5,93.20511484788591,env_grid6_complex0.6_run1
6,0.6,2,value_iteration,1146,95.45900814302058,env_grid6_complex0.6_run2
6,0.6,2,policy_iteration,9,95.45992023840451,env_grid6_complex0.6_run2
6,0.6,3,value_iteration,1134,79.21985763106112,env_grid6_complex0.6_run3
6,0.6,3,policy_iteration,6,79.2204593685497,env_grid6_complex0.6_run3
6,0.6,4,value_iteration,1146,94.95026406873315,env_grid6_complex0.6_run4
6,0.6,4,policy_iteration,6,94.95108362934883,env_grid6_complex0.6_run4
6,0.6,5,value_iteration,1146,89.92375360525978,env_grid6_complex0.6_run5
6,0.6,5,policy_iteration,5,89.92453210859294,env_grid6_complex0.6_run5
6,0.6,6,value_iteration,1134,83.49550317070185,env_grid6_complex0.6_run6
6,0.6,6,policy_iteration,8,83.49640017845559,env_grid6_complex0.6_run6
6,0.6,7,value_iteration,1131,82.28759547551573,env_grid6_complex0.6_run7
6,0.6,7,policy_iteration,7,82.2883951653181,env_grid6_complex0.6_run7
6,0.6,8,value_iteration,1132,81.17796400079426,env_grid6_complex0.6_run8
6,0.6,8,policy_iteration,5,81.17858256221152,env_grid6_complex0.6_run8
6,0.6,9,value_iteration,1146,95.91690343239969,env_grid6_complex0.6_run9
6,0.6,9,policy_iteration,5,95.91734057632121,env_grid6_complex0.6_run9
6,0.7,0,value_iteration,1146,85.16828041066933,env_grid6_complex0.7_run0
6,0.7,0,policy_iteration,7,85.16909104910967,env_grid6_complex0.7_run0
6,0.7,1,value_iteration,1146,94.07016681370818,env_grid6_complex0.7_run1
6,0.7,1,policy_iteration,7,94.07090743785106,env_grid6_complex0.7_run1
6,0.7,2,value_iteration,1146,96.15504554091605,env_grid6_complex0.7_run2
6,0.7,2,policy_iteration,8,96.1558684199689,env_grid6_complex0.7_run2
6,0.7,3,value_iteration,1146,79.36693851642038,env_grid6_complex0.7_run3
6,0.7,3,policy_iteration,5,79.36724864161563,env_grid6_complex0.7_run3
6,0.7,4,value_iteration,1146,94.61048168390438,env_grid6_complex0.7_run4
6,0.7,4,policy_iteration,6,94.61130930190882,env_grid6_complex0.7_run4
6,0.7,5,value_iteration,1146,89.97059498883108,env_grid6_complex0.7_run5
6,0.7,5,policy_iteration,6,89.97136549960014,env_grid6_complex0.7_run5
6,0.7,6,value_iteration,1134,85.12817743365655,env_grid6_complex0.7_run6
6,0.7,6,policy_iteration,7,85.12909400752304,env_grid6_complex0.7_run6
